country,country_code,year,gini
United States,USA,1963.0,36.7
United States,USA,1964.0,37.4
United States,USA,1965.0,36.8
United States,USA,1966.0,37.1
United States,USA,1967.0,36.9
United Kingdom,GBR,1968.0,26.8
United States,USA,1968.0,36.3
United Kingdom,GBR,1969.0,27.9
United States,USA,1969.0,36.0
France,FRA,1970.0,37.1
United Kingdom,GBR,1970.0,28.0
United States,USA,1970.0,36.6
Canada,CAN,1971.0,37.2
United Kingdom,GBR,1971.0,29.3
United States,USA,1971.0,36.9
United Kingdom,GBR,1972.0,28.8
United States,USA,1972.0,36.7
Canada,CAN,1973.0,34.9
United Kingdom,GBR,1973.0,28.8
United States,USA,1973.0,36.1
United Kingdom,GBR,1974.0,29.0
United States,USA,1974.0,35.5
Canada,CAN,1975.0,34.1
France,FRA,1975.0,35.9
United Kingdom,GBR,1975.0,27.9
Sweden,SWE,1975.0,24.3
United States,USA,1975.0,35.6
United Kingdom,GBR,1976.0,27.6
United States,USA,1976.0,35.6
Canada,CAN,1977.0,33.7
United Kingdom,GBR,1977.0,27.1
India,IND,1977.0,29.7
Italy,ITA,1977.0,34.0
United States,USA,1977.0,35.5
United Kingdom,GBR,1978.0,27.2
Italy,ITA,1978.0,33.3
United States,USA,1978.0,34.8
Canada,CAN,1979.0,33.5
France,FRA,1979.0,34.0
United Kingdom,GBR,1979.0,27.4
Israel,ISR,1979.0,36.3
Italy,ITA,1979.0,33.3
Norway,NOR,1979.0,26.9
Panama,PAN,1979.0,48.7
United States,USA,1979.0,34.8
Argentina,ARG,1980.0,40.8
Colombia,COL,1980.0,55.1
Spain,ESP,1980.0,34.5
United Kingdom,GBR,1980.0,28.5
Italy,ITA,1980.0,32.9
Madagascar,MDG,1980.0,46.8
United States,USA,1980.0,34.7
Australia,AUS,1981.0,31.3
Brazil,BRA,1981.0,57.9
Canada,CAN,1981.0,33.0
China,CHN,1981.0,28.2
Costa Rica,CRI,1981.0,47.5
United Kingdom,GBR,1981.0,29.7
Italy,ITA,1981.0,31.6
Sweden,SWE,1981.0,22.9
Thailand,THA,1981.0,45.2
Uruguay,URY,1981.0,43.6
United States,USA,1981.0,35.5
"Venezuela, RB",VEN,1981.0,55.6
Brazil,BRA,1982.0,58.4
Canada,CAN,1982.0,32.9
Switzerland,CHE,1982.0,36.0
United Kingdom,GBR,1982.0,29.9
Italy,ITA,1982.0,29.2
United States,USA,1982.0,36.7
Bangladesh,BGD,1983.0,25.9
Brazil,BRA,1983.0,58.9
United Kingdom,GBR,1983.0,29.8
India,IND,1983.0,27.2
Italy,ITA,1983.0,29.8
Netherlands,NLD,1983.0,28.4
United States,USA,1983.0,37.3
Brazil,BRA,1984.0,58.3
Canada,CAN,1984.0,33.5
China,CHN,1984.0,27.1
France,FRA,1984.0,33.4
United Kingdom,GBR,1984.0,29.2
Indonesia,IDN,1984.0,32.3
Italy,ITA,1984.0,31.3
Morocco,MAR,1984.0,36.5
Mexico,MEX,1984.0,48.5
Malaysia,MYS,1984.0,48.5
Nepal,NPL,1984.0,30.1
United States,USA,1984.0,37.3
Australia,AUS,1985.0,32.5
Belgium,BEL,1985.0,25.2
Bangladesh,BGD,1985.0,26.9
Brazil,BRA,1985.0,55.5
Botswana,BWA,1985.0,54.2
Canada,CAN,1985.0,33.2
Cote d'Ivoire,CIV,1985.0,45.5
Spain,ESP,1985.0,34.4
United Kingdom,GBR,1985.0,30.4
Sri Lanka,LKA,1985.0,32.5
Luxembourg,LUX,1985.0,26.3
Nigeria,NGA,1985.0,38.7
Peru,PER,1985.0,45.6
Philippines,PHL,1985.0,41.0
Poland,POL,1985.0,25.1
Tunisia,TUN,1985.0,43.4
United States,USA,1985.0,37.6
Argentina,ARG,1986.0,42.8
Brazil,BRA,1986.0,58.4
Canada,CAN,1986.0,31.7
Cote d'Ivoire,CIV,1986.0,38.0
Costa Rica,CRI,1986.0,34.4
Dominican Republic,DOM,1986.0,47.8
United Kingdom,GBR,1986.0,31.9
Guatemala,GTM,1986.0,54.1
"Iran, Islamic Rep.",IRN,1986.0,47.4
Israel,ISR,1986.0,36.5
Italy,ITA,1986.0,31.2
Jordan,JOR,1986.0,36.1
Lesotho,LSO,1986.0,56.0
Luxembourg,LUX,1986.0,28.1
Norway,NOR,1986.0,24.6
Poland,POL,1986.0,28.0
United States,USA,1986.0,37.6
Argentina,ARG,1987.0,45.3
Brazil,BRA,1987.0,59.6
Canada,CAN,1987.0,31.7
Chile,CHL,1987.0,56.2
China,CHN,1987.0,29.4
Cote d'Ivoire,CIV,1987.0,40.5
Denmark,DNK,1987.0,26.2
Ecuador,ECU,1987.0,50.5
Finland,FIN,1987.0,22.2
United Kingdom,GBR,1987.0,33.9
Ghana,GHA,1987.0,35.3
Hungary,HUN,1987.0,20.9
Indonesia,IDN,1987.0,30.4
India,IND,1987.0,27.5
Ireland,IRL,1987.0,35.5
Italy,ITA,1987.0,34.2
Luxembourg,LUX,1987.0,29.5
Mauritania,MRT,1987.0,43.9
Malaysia,MYS,1987.0,47.0
Netherlands,NLD,1987.0,26.8
Pakistan,PAK,1987.0,33.3
Poland,POL,1987.0,25.5
Slovenia,SVN,1987.0,23.6
Sweden,SWE,1987.0,23.1
Turkiye,TUR,1987.0,41.0
United States,USA,1987.0,37.2
"Venezuela, RB",VEN,1987.0,53.4
Belgium,BEL,1988.0,25.7
Bangladesh,BGD,1988.0,28.8
Brazil,BRA,1988.0,61.4
Canada,CAN,1988.0,31.2
Cote d'Ivoire,CIV,1988.0,36.9
Colombia,COL,1988.0,53.1
Algeria,DZA,1988.0,37.4
United Kingdom,GBR,1988.0,34.3
Ghana,GHA,1988.0,36.0
Croatia,HRV,1988.0,22.8
Jamaica,JAM,1988.0,43.2
Luxembourg,LUX,1988.0,28.8
Philippines,PHL,1988.0,40.7
Thailand,THA,1988.0,43.8
Trinidad and Tobago,TTO,1988.0,42.6
United States,USA,1988.0,37.7
Australia,AUS,1989.0,33.2
Bulgaria,BGR,1989.0,23.4
Brazil,BRA,1989.0,63.2
Canada,CAN,1989.0,31.0
Colombia,COL,1989.0,52.8
Costa Rica,CRI,1989.0,45.5
Dominican Republic,DOM,1989.0,50.4
United Kingdom,GBR,1989.0,33.4
Guatemala,GTM,1989.0,58.8
Honduras,HND,1989.0,55.4
Hungary,HUN,1989.0,25.0
Italy,ITA,1989.0,32.1
Luxembourg,LUX,1989.0,30.8
Mexico,MEX,1989.0,50.1
Malaysia,MYS,1989.0,46.2
Panama,PAN,1989.0,58.5
Poland,POL,1989.0,26.8
Romania,ROU,1989.0,23.3
El Salvador,SLV,1989.0,48.7
Uganda,UGA,1989.0,44.4
Uruguay,URY,1989.0,42.4
United States,USA,1989.0,38.2
"Venezuela, RB",VEN,1989.0,43.8
Bolivia,BOL,1990.0,42.0
Brazil,BRA,1990.0,60.5
Canada,CAN,1990.0,31.4
Chile,CHL,1990.0,57.2
China,CHN,1990.0,32.2
Costa Rica,CRI,1990.0,45.2
"Egypt, Arab Rep.",EGY,1990.0,32.0
Spain,ESP,1990.0,32.0
France,FRA,1990.0,32.1
United Kingdom,GBR,1990.0,35.7
Honduras,HND,1990.0,55.9
Indonesia,IDN,1990.0,31.1
"Iran, Islamic Rep.",IRN,1990.0,43.6
Jamaica,JAM,1990.0,41.1
Sri Lanka,LKA,1990.0,32.4
Luxembourg,LUX,1990.0,27.7
Morocco,MAR,1990.0,39.2
Netherlands,NLD,1990.0,31.1
Pakistan,PAK,1990.0,33.2
Paraguay,PRY,1990.0,40.8
Thailand,THA,1990.0,45.3
Tunisia,TUN,1990.0,40.1
United States,USA,1990.0,38.3
Argentina,ARG,1991.0,46.8
Bangladesh,BGD,1991.0,27.6
Canada,CAN,1991.0,31.9
Colombia,COL,1991.0,51.3
Costa Rica,CRI,1991.0,46.6
Germany,DEU,1991.0,29.5
Finland,FIN,1991.0,22.9
United Kingdom,GBR,1991.0,35.0
Ghana,GHA,1991.0,38.4
Guinea,GIN,1991.0,45.6
Guinea-Bissau,GNB,1991.0,55.8
Honduras,HND,1991.0,51.8
Hungary,HUN,1991.0,29.6
Italy,ITA,1991.0,31.0
Luxembourg,LUX,1991.0,27.2
Norway,NOR,1991.0,25.2
Panama,PAN,1991.0,58.0
Philippines,PHL,1991.0,43.8
Senegal,SEN,1991.0,54.0
El Salvador,SLV,1991.0,53.8
Tanzania,TZA,1991.0,35.3
United States,USA,1991.0,38.0
Zambia,ZMB,1991.0,59.4
Argentina,ARG,1992.0,45.5
Burundi,BDI,1992.0,33.3
Belgium,BEL,1992.0,24.9
Bulgaria,BGR,1992.0,30.7
Bolivia,BOL,1992.0,49.1
Brazil,BRA,1992.0,53.1
Central African Republic,CAF,1992.0,59.7
Canada,CAN,1992.0,31.6
Switzerland,CHE,1992.0,33.9
Chile,CHL,1992.0,54.8
Cote d'Ivoire,CIV,1992.0,39.4
Colombia,COL,1992.0,51.3
Costa Rica,CRI,1992.0,45.6
Czechia,CZE,1992.0,20.7
Germany,DEU,1992.0,29.1
